mode	sample_index	origin_node	committed	errors	timeouts	rss_start_bytes	rss_warmup_peak_bytes	rss_measure_peak_bytes	rss_drain_peak_bytes	peak_rss_bytes
multi_raft	0	1	0	0	1200	3948544	4829184	4829184	4874240	4874240
multi_raft	0	2	0	0	1200	4083712	4902912	4902912	4915200	4915200
multi_raft	0	3	0	0	1200	3989504	4919296	4919296	4984832	4984832
multi_raft	1	1	5939	0	962	3854336	4882432	5001216	5001216	5001216
multi_raft	1	2	5916	0	962	4014080	5062656	5185536	5185536	5185536
multi_raft	1	3	5937	0	962	3850240	4956160	5079040	5079040	5079040
multi_raft	2	1	8440	0	600	4046848	4923392	5177344	5177344	5177344
multi_raft	2	2	8425	0	600	3870720	4714496	4935680	4935680	4935680
multi_raft	2	3	8424	0	600	3997696	5021696	5271552	5271552	5271552
multi_raft	3	1	5939	0	900	3895296	4939776	5099520	5132288	5132288
multi_raft	3	2	5933	0	900	3928064	4956160	5124096	5124096	5124096
multi_raft	3	3	5931	0	900	3870720	4702208	4866048	4866048	4866048
multi_raft	4	1	6509	0	839	3670016	4620288	4861952	4927488	4927488
multi_raft	4	2	6516	0	831	4059136	4886528	5062656	5062656	5062656
multi_raft	4	3	6519	0	837	3870720	4726784	4911104	4911104	4911104
single_group	0	1	1264	0	263	3952640	4751360	4894720	4907008	4907008
single_group	0	2	1248	0	262	3780608	4718592	4833280	4853760	4853760
single_group	0	3	1257	0	262	3883008	4767744	4874240	4886528	4886528
single_group	1	1	1197	0	323	4116480	4866048	4997120	5046272	5046272
single_group	1	2	1186	0	333	3870720	4657152	4792320	4853760	4853760
single_group	1	3	1187	0	330	3985408	4808704	4931584	4947968	4947968
single_group	2	1	1243	0	261	3739648	4587520	4759552	4825088	4825088
single_group	2	2	1263	0	245	4014080	4984832	5099520	5099520	5099520
single_group	2	3	1260	0	247	3919872	4886528	5013504	5054464	5054464
single_group	3	1	1145	0	337	3870720	4792320	4919296	4919296	4919296
single_group	3	2	1148	0	347	3887104	4632576	4734976	4734976	4734976
single_group	3	3	1139	0	349	3903488	4653056	4780032	4780032	4780032
single_group	4	1	1283	0	228	4001792	4947968	5070848	5070848	5070848
single_group	4	2	1285	0	231	3964928	4968448	5091328	5091328	5091328
single_group	4	3	1281	0	229	4042752	5025792	5140480	5181440	5181440
