sample	node	peak_rss_bytes	peak_dispatch_depth	peak_retransmission_buffer_bytes	peak_retransmission_total	peak_queue_overflow_total	peak_backpressure_triggered_total
0	1	681361408	35	0	0	0	0
0	2	55984128	1	0	0	0	0
0	3	1537662976	1268	0	0	0	0
1	1	1666785280	7	0	0	0	0
1	2	104386560	2	0	0	0	0
1	3	400318464	33	0	0	0	0
2	1	1588703232	7	0	0	0	0
2	2	330850304	40	0	0	0	0
2	3	126697472	1	0	0	0	0
3	1	2024079360	7	0	0	0	0
3	2	271499264	30	0	0	0	0
3	3	78737408	1	0	0	0	0
4	1	1838653440	13	0	0	0	0
4	2	966664192	1018	0	0	0	0
4	3	90030080	2	0	0	0	0
