mode	sample_index	origin_node	committed	errors	timeouts	rss_start_bytes	rss_warmup_peak_bytes	rss_measure_peak_bytes	rss_drain_peak_bytes	peak_rss_bytes
multi_raft	0	1	7523	666	0	4145152	4984832	5287936	5287936	5287936
multi_raft	0	2	7518	664	1	4321280	5160960	5459968	5492736	5492736
multi_raft	0	3	7514	685	1	4349952	5201920	5464064	5464064	5464064
multi_raft	1	1	0	0	1200	4235264	5066752	5066752	5066752	5066752
multi_raft	1	2	0	0	1200	3788800	4694016	4694016	4759552	4759552
multi_raft	1	3	0	0	1200	4296704	5120000	5120000	5120000	5120000
multi_raft	2	1	0	0	1200	4304896	5255168	5255168	5255168	5255168
multi_raft	2	2	0	0	1200	4202496	5025792	5025792	5025792	5025792
multi_raft	2	3	0	0	1200	3747840	4665344	4665344	4730880	4730880
multi_raft	3	1	13777	0	200	4284416	5238784	5607424	5607424	5607424
multi_raft	3	2	13749	0	200	4325376	5144576	5521408	5521408	5521408
multi_raft	3	3	13739	0	200	4214784	5079040	5451776	5451776	5451776
multi_raft	4	1	0	0	1200	4452352	5341184	5341184	5341184	5341184
multi_raft	4	2	0	0	1200	4333568	5156864	5156864	5189632	5189632
multi_raft	4	3	0	0	1200	4304896	5226496	5226496	5226496	5226496
single_group	0	1	1523	0	0	3874816	4648960	4739072	4870144	4870144
single_group	0	2	1526	0	0	3805184	4583424	4677632	4808704	4808704
single_group	0	3	1553	0	0	4218880	5021696	5107712	5107712	5107712
single_group	1	1	1510	0	0	4259840	5033984	5124096	5124096	5124096
single_group	1	2	1505	0	0	4218880	5062656	5144576	5144576	5144576
single_group	1	3	1502	0	0	4202496	5079040	5173248	5173248	5173248
single_group	2	1	1463	0	25	4194304	4939776	5025792	5062656	5062656
single_group	2	2	1476	0	12	4206592	5070848	5156864	5156864	5156864
single_group	2	3	1465	0	11	4251648	4976640	5083136	5115904	5115904
single_group	3	1	1554	0	25	4354048	5107712	5193728	5222400	5222400
single_group	3	2	1546	0	17	4464640	5152768	5242880	5308416	5308416
single_group	3	3	1533	0	16	4202496	5058560	5140480	5144576	5144576
single_group	4	1	1557	0	0	4206592	5074944	5152768	5156864	5156864
single_group	4	2	1542	0	0	4435968	5177344	5263360	5263360	5263360
single_group	4	3	1555	0	0	4218880	4943872	5038080	5079040	5079040
