mode	index	committed	throughput_per_sec	errors	timeouts	peak_rss_bytes	cpu_seconds
multi_raft	0	22555	375.9166666666667	2015	2	368791552	140.02
single_group	0	4602	76.7	0	0	11509760	69.39
single_group	1	4517	75.28333333333333	0	0	11620352	69.39
multi_raft	1	0	0	0	3600	262852608	123.97999999999999
multi_raft	2	0	0	0	3600	198529024	82.58
single_group	2	4404	73.4	0	48	11583488	69.24
single_group	3	4633	77.21666666666667	0	58	11653120	69.86000000000001
multi_raft	3	41265	687.75	0	600	183623680	309.07
multi_raft	4	0	0	0	3600	232701952	124.84
single_group	4	4654	77.56666666666668	0	0	11866112	70.08
