mode	sample_index	origin_node	committed	errors	timeouts	rss_start_bytes	rss_warmup_peak_bytes	rss_measure_peak_bytes	rss_drain_peak_bytes	peak_rss_bytes
multi_raft	0	1	0	0	1200	4263936	5169152	5169152	5169152	5169152
multi_raft	0	2	0	0	1200	3940352	4960256	4960256	4960256	4960256
multi_raft	0	3	0	0	1200	4341760	5214208	5214208	5214208	5214208
multi_raft	1	1	7347	0	600	4362240	5124096	5337088	5337088	5337088
multi_raft	1	2	7303	0	600	4186112	5001216	5271552	5271552	5271552
multi_raft	1	3	7306	0	600	4235264	5050368	5263360	5263360	5263360
multi_raft	2	1	13786	0	0	4206592	5201920	5558272	5558272	5558272
multi_raft	2	2	13792	0	0	4263936	5095424	5468160	5468160	5468160
multi_raft	2	3	13801	0	0	4501504	5296128	5636096	5640192	5640192
multi_raft	3	1	9233	50	639	4243456	5165056	5500928	5509120	5509120
multi_raft	3	2	9228	60	629	4329472	5222400	5550080	5550080	5550080
multi_raft	3	3	9273	53	636	4255744	5140480	5484544	5484544	5484544
multi_raft	4	1	8185	0	500	4165632	5091328	5328896	5328896	5328896
multi_raft	4	2	8173	0	500	4276224	5128192	5369856	5369856	5369856
multi_raft	4	3	8173	0	500	4198400	5136384	5369856	5369856	5369856
single_group	0	1	1538	0	75	4255744	4898816	5050368	5050368	5050368
single_group	0	2	1561	0	79	4415488	5115904	5206016	5206016	5206016
single_group	0	3	1557	0	71	4333568	5042176	5132288	5132288	5132288
single_group	1	1	1513	0	80	4104192	4890624	4993024	4993024	4993024
single_group	1	2	1534	0	75	4333568	5013504	5189632	5189632	5189632
single_group	1	3	1513	0	83	4272128	5046272	5152768	5152768	5152768
single_group	2	1	1484	0	85	4190208	4972544	5091328	5091328	5091328
single_group	2	2	1488	0	85	4239360	5009408	5128192	5128192	5128192
single_group	2	3	1476	0	80	4325376	5025792	5144576	5144576	5144576
single_group	3	1	1547	0	103	4243456	5013504	5107712	5107712	5107712
single_group	3	2	1541	0	116	4292608	5009408	5124096	5124096	5124096
single_group	3	3	1524	0	96	4263936	5025792	5120000	5120000	5120000
single_group	4	1	1496	0	166	4259840	5021696	5128192	5132288	5132288
single_group	4	2	1496	0	144	4079616	4874240	4968448	4968448	4968448
single_group	4	3	1496	0	151	4239360	5009408	5124096	5128192	5128192
