mode	index	committed	throughput_per_sec	errors	timeouts	peak_rss_bytes	cpu_seconds
multi_raft	0	0	0	0	3600	152592384	69.36
single_group	0	4656	77.6	0	225	12578816	69.47
single_group	1	4560	76	0	238	12652544	68.92
multi_raft	1	21956	365.93333333333334	0	1800	1847201792	233.33999999999997
multi_raft	2	41379	689.65	0	0	176099328	327.53000000000003
single_group	2	4448	74.13333333333334	0	250	12926976	68.52999999999999
single_group	3	4612	76.86666666666666	0	315	12754944	68.47
multi_raft	3	27734	462.23333333333335	163	1904	648777728	379.19000000000005
multi_raft	4	24531	408.85	0	1500	1884954624	238.26
single_group	4	4488	74.8	0	461	12775424	69.22999999999999
